INSERT INTO Reviews VALUES (1, 5, t, '', '');
INSERT INTO Reviews VALUES (72, 4, f, '', '');
INSERT INTO Reviews VALUES (73, 6, f, '', '');
INSERT INTO Reviews VALUES (74, 5, f, '', '');
INSERT INTO Reviews VALUES (75, 5, f, '', '');
INSERT INTO Reviews VALUES (76, 8, f, '', '');
INSERT INTO Reviews VALUES (77, 1, f, '', '');
INSERT INTO Reviews VALUES (78, 1, f, '', '');
INSERT INTO Reviews VALUES (79, 8, f, '', '');
INSERT INTO Reviews VALUES (80, 4, f, '', '');
INSERT INTO Reviews VALUES (81, 7, f, '', '');
INSERT INTO Reviews VALUES (82, 4, f, '', '');
INSERT INTO Reviews VALUES (83, 6, f, '', '');
INSERT INTO Reviews VALUES (84, 5, f, '', '');
INSERT INTO Reviews VALUES (85, 7, f, '', '');
INSERT INTO Reviews VALUES (86, 5, f, '', '');
INSERT INTO Reviews VALUES (87, 7, f, '', '');
INSERT INTO Reviews VALUES (88, 2, f, '', '');
INSERT INTO Reviews VALUES (89, 5, f, '', '');
INSERT INTO Reviews VALUES (90, 1, f, '', '');
INSERT INTO Reviews VALUES (91, 6, f, '', '');
INSERT INTO Reviews VALUES (92, 1, f, '', '');
INSERT INTO Reviews VALUES (93, 8, f, '', '');
INSERT INTO Reviews VALUES (94, 8, f, '', '');
INSERT INTO Reviews VALUES (95, 7, f, '', '');
INSERT INTO Reviews VALUES (96, 6, f, '', '');
INSERT INTO Reviews VALUES (97, 4, f, '', '');
INSERT INTO Reviews VALUES (98, 7, f, '', '');
INSERT INTO Reviews VALUES (99, 4, f, '', '');
INSERT INTO Reviews VALUES (100, 2, f, '', '');
INSERT INTO Reviews VALUES (101, 1, f, '', '');
INSERT INTO Reviews VALUES (102, 5, f, '', '');
INSERT INTO Reviews VALUES (103, 4, f, '', '');
INSERT INTO Reviews VALUES (104, 1, f, '', '');
INSERT INTO Reviews VALUES (105, 8, f, '', '');
INSERT INTO Reviews VALUES (106, 4, f, '', '');
INSERT INTO Reviews VALUES (107, 8, f, '', '');
INSERT INTO Reviews VALUES (108, 2, f, '', '');
INSERT INTO Reviews VALUES (109, 7, f, '', '');
INSERT INTO Reviews VALUES (110, 2, f, '', '');
INSERT INTO Reviews VALUES (111, 6, f, '', '');
INSERT INTO Reviews VALUES (112, 5, f, '', '');
INSERT INTO Reviews VALUES (113, 7, f, '', '');
INSERT INTO Reviews VALUES (114, 8, f, '', '');
INSERT INTO Reviews VALUES (115, 8, f, '', '');
INSERT INTO Reviews VALUES (116, 3, f, '', '');
INSERT INTO Reviews VALUES (117, 8, f, '', '');
INSERT INTO Reviews VALUES (118, 8, f, '', '');
INSERT INTO Reviews VALUES (119, 3, f, '', '');
INSERT INTO Reviews VALUES (120, 7, f, '', '');
INSERT INTO Reviews VALUES (121, 2, f, '', '');
INSERT INTO Reviews VALUES (122, 2, f, '', '');
INSERT INTO Reviews VALUES (123, 3, f, '', '');
INSERT INTO Reviews VALUES (124, 5, f, '', '');
INSERT INTO Reviews VALUES (125, 5, f, '', '');
INSERT INTO Reviews VALUES (126, 4, f, '', '');
INSERT INTO Reviews VALUES (127, 5, f, '', '');
INSERT INTO Reviews VALUES (128, 1, f, '', '');
INSERT INTO Reviews VALUES (129, 1, f, '', '');
INSERT INTO Reviews VALUES (130, 7, f, '', '');
INSERT INTO Reviews VALUES (131, 3, f, '', '');
INSERT INTO Reviews VALUES (132, 7, f, '', '');
INSERT INTO Reviews VALUES (133, 2, f, '', '');
INSERT INTO Reviews VALUES (134, 2, f, '', '');
INSERT INTO Reviews VALUES (135, 2, f, '', '');
INSERT INTO Reviews VALUES (136, 6, f, '', '');
INSERT INTO Reviews VALUES (137, 3, f, '', '');
INSERT INTO Reviews VALUES (138, 4, f, '', '');
INSERT INTO Reviews VALUES (139, 7, f, '', '');
INSERT INTO Reviews VALUES (140, 2, f, '', '');
INSERT INTO Reviews VALUES (141, 2, f, '', '');
INSERT INTO Reviews VALUES (142, 2, f, '', '');
INSERT INTO Reviews VALUES (143, 2, f, '', '');
INSERT INTO Reviews VALUES (144, 5, f, '', '');
INSERT INTO Reviews VALUES (145, 6, f, '', '');
INSERT INTO Reviews VALUES (146, 8, f, '', '');
INSERT INTO Reviews VALUES (147, 8, f, '', '');
INSERT INTO Reviews VALUES (148, 6, f, '', '');
INSERT INTO Reviews VALUES (149, 3, f, '', '');
INSERT INTO Reviews VALUES (150, 2, f, '', '');
INSERT INTO Reviews VALUES (151, 5, f, '', '');
INSERT INTO Reviews VALUES (152, 7, f, '', '');
INSERT INTO Reviews VALUES (153, 4, f, '', '');
INSERT INTO Reviews VALUES (154, 5, f, '', '');
INSERT INTO Reviews VALUES (155, 3, f, '', '');
INSERT INTO Reviews VALUES (156, 4, f, '', '');
INSERT INTO Reviews VALUES (157, 6, f, '', '');
INSERT INTO Reviews VALUES (158, 6, f, '', '');
INSERT INTO Reviews VALUES (159, 7, f, '', '');
INSERT INTO Reviews VALUES (160, 1, f, '', '');
INSERT INTO Reviews VALUES (161, 4, f, '', '');
INSERT INTO Reviews VALUES (162, 8, f, '', '');
INSERT INTO Reviews VALUES (163, 7, f, '', '');
INSERT INTO Reviews VALUES (164, 6, f, '', '');
INSERT INTO Reviews VALUES (165, 6, f, '', '');
INSERT INTO Reviews VALUES (166, 8, f, '', '');
INSERT INTO Reviews VALUES (167, 1, f, '', '');
INSERT INTO Reviews VALUES (168, 8, f, '', '');
INSERT INTO Reviews VALUES (169, 7, f, '', '');
INSERT INTO Reviews VALUES (170, 8, f, '', '');
INSERT INTO Reviews VALUES (171, 1, f, '', '');
INSERT INTO Reviews VALUES (172, 5, f, '', '');
INSERT INTO Reviews VALUES (173, 7, f, '', '');
INSERT INTO Reviews VALUES (174, 5, f, '', '');
INSERT INTO Reviews VALUES (175, 2, f, '', '');
INSERT INTO Reviews VALUES (176, 3, f, '', '');
INSERT INTO Reviews VALUES (177, 1, f, '', '');
INSERT INTO Reviews VALUES (178, 7, f, '', '');
INSERT INTO Reviews VALUES (179, 7, f, '', '');
INSERT INTO Reviews VALUES (180, 3, f, '', '');
INSERT INTO Reviews VALUES (181, 6, f, '', '');
INSERT INTO Reviews VALUES (182, 5, f, '', '');
INSERT INTO Reviews VALUES (183, 1, f, '', '');
INSERT INTO Reviews VALUES (184, 7, f, '', '');
INSERT INTO Reviews VALUES (185, 4, f, '', '');
INSERT INTO Reviews VALUES (186, 2, f, '', '');
INSERT INTO Reviews VALUES (187, 8, f, '', '');
INSERT INTO Reviews VALUES (188, 5, f, '', '');
INSERT INTO Reviews VALUES (189, 1, f, '', '');
INSERT INTO Reviews VALUES (190, 7, f, '', '');
INSERT INTO Reviews VALUES (191, 8, f, '', '');
INSERT INTO Reviews VALUES (192, 1, f, '', '');
INSERT INTO Reviews VALUES (193, 2, f, '', '');
INSERT INTO Reviews VALUES (194, 5, f, '', '');
INSERT INTO Reviews VALUES (195, 3, f, '', '');
INSERT INTO Reviews VALUES (196, 7, f, '', '');
INSERT INTO Reviews VALUES (197, 7, f, '', '');
INSERT INTO Reviews VALUES (198, 8, f, '', '');
INSERT INTO Reviews VALUES (199, 7, f, '', '');
INSERT INTO Reviews VALUES (200, 7, f, '', '');
INSERT INTO Reviews VALUES (201, 2, f, '', '');
INSERT INTO Reviews VALUES (202, 3, f, '', '');
INSERT INTO Reviews VALUES (203, 1, f, '', '');
INSERT INTO Reviews VALUES (204, 8, f, '', '');
INSERT INTO Reviews VALUES (205, 7, f, '', '');
INSERT INTO Reviews VALUES (206, 7, f, '', '');
INSERT INTO Reviews VALUES (207, 2, f, '', '');

